id	人物等级	升级所需经验
int	int	int
n_id	n_grade	n_exp
1	1	10
2	2	20
3	3	50
4	4	100
5	5	170
6	6	260
7	7	370
8	8	500
9	9	650
10	10	820
11	11	1010
12	12	1220
13	13	1450
14	14	1700
15	15	1970
16	16	2260
17	17	2570
18	18	2900
19	19	3250
20	20	3620
21	21	4010
22	22	4420
23	23	4850
24	24	5300
25	25	5770
26	26	6260
27	27	6770
28	28	7300
29	29	7850
30	30	8420
31	31	9010
32	32	9620
33	33	10250
34	34	10900
35	35	11570
36	36	12260
37	37	12970
38	38	13700
39	39	14450
40	40	15220
41	41	16010
42	42	16820
43	43	17650
44	44	18500
45	45	19370
46	46	20260
47	47	21170
48	48	22100
49	49	23050
50	50	24020
51	51	25010
52	52	26020
53	53	27050
54	54	28100
55	55	29170
56	56	30260
57	57	31370
58	58	32500
59	59	33650
60	60	34820
61	61	36010
62	62	37220
63	63	38450
64	64	39700
65	65	40970
66	66	42260
67	67	43570
68	68	44900
69	69	46250
70	70	47620
