编号	物攻	魔伤	物防	魔防	生命	命中	闪避	暴击	抗暴	物攻成长值	魔伤成长值	物防成长值	魔防成长值	生命成长值	命中成长值	闪避成长值	暴击成长值	抗暴成长值
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
n_id	n_physicsAttack	n_magicAttack	n_barmor	n_bresistance	n_hp	n_hit	n_dodge	n_crit	n_opposeCrit	n_physicsAttackz	n_magicAttackz	n_barmorz	n_bresistancez	n_hpz	n_hitz	n_dodgez	n_critz	n_opposeCritz
1	140	0	70	70	560	40	40	40	40	14	0	7	7	56	4	4	4	4
2	140	0	70	70	560	40	40	40	40	14	0	7	7	56	4	4	4	4
100	100	0	50	50	400	20	20	20	20	10	0	5	5	40	2	2	2	2
101	120	0	60	60	480	30	30	30	30	12	0	6	6	48	3	3	3	3
102	140	0	72	68	560	40	40	40	40	14	0	7	7	56	4	4	4	4
103	140	0	68	72	560	40	40	40	40	14	0	7	7	56	4	4	4	4
104	160	0	80	80	640	50	50	50	50	16	0	8	8	64	5	5	5	5
105	160	0	82	78	640	50	50	50	50	16	0	8	8	64	5	5	5	5
106	160	0	78	82	640	50	50	50	50	16	0	8	8	64	5	5	5	5
200	0	125	40	40	325	20	20	20	20	0	13	4	4	25	2	2	2	2
201	0	145	50	50	405	30	30	30	30	0	15	5	5	33	3	3	3	3
202	0	165	60	60	485	40	40	40	40	0	15	5	5	33	3	3	3	3
203	0	165	58	62	485	40	40	40	40	0	15	5	5	33	3	3	3	3
204	0	185	70	70	565	50	50	50	50	0	19	7	7	49	5	5	5	5
205	0	185	68	72	565	50	50	50	50	0	19	7	7	49	5	5	5	5
206	0	185	66	74	565	50	50	50	50	0	19	7	7	49	5	5	5	5
300	125	0	40	40	325	20	20	20	20	13	0	4	4	25	2	2	2	2
301	145	0	50	50	405	30	30	30	30	15	0	5	5	33	3	3	3	3
302	165	0	60	60	485	40	40	40	40	15	0	5	5	33	3	3	3	3
303	165	0	62	58	485	40	40	40	40	15	0	5	5	33	3	3	3	3
304	185	0	70	70	565	50	50	50	50	19	0	7	7	49	5	5	5	5
305	185	0	72	68	565	50	50	50	50	19	0	7	7	49	5	5	5	5
306	185	0	74	66	565	50	50	50	50	19	0	7	7	49	5	5	5	5
