装备ID	装备名称	穿戴职业	穿戴部位	穿戴等级	装备品质	装备图标	物攻	魔伤	物防	魔防	生命	命中	闪避	暴击	抗暴	装备说明
int	varchar(255)	int	int	int	int	int	int	int	int	int	int	int	int	int	int	varchar(255)
n_id	n_name	n_profession	n_part	n_grade	n_quality	n_icon	n_physicsAttack	n_magicAttack	n_barmor	n_bresistance	n_hp	n_hit	n_dodge	n_crit	n_opposeCrit	n_explain
240001 	铸铁阔剑	1 	1 	1 	1 	240001 	80 	0 	0 	0 	0 	18 	0 	18 	0 	用生铁铸造的剑，强度不高，凑合着用。
240002 	木制护手	1 	2 	1 	1 	240002 	0 	0 	30 	0 	250 	0 	22 	0 	0 	只是用树皮包裹一下。
240003 	老旧胸甲	1 	3 	1 	1 	240003 	0 	0 	0 	30 	250 	0 	0 	0 	22 	翻箱倒柜找出来的东西，已经很旧了，基本没有什么防护作用。
240004 	牛皮战靴	1 	4 	1 	1 	240004 	40 	0 	0 	0 	250 	0 	0 	0 	0 	牛皮裹得好，至少不磨脚。
240007 	统领阔剑	1 	1 	1 	2 	240007 	120 	0 	0 	0 	0 	27 	0 	27 	0 	统领族人用的号令之剑。
240008 	精制护手	1 	2 	1 	2 	240008 	0 	0 	45 	0 	375 	0 	33 	0 	0 	耗费工匠心血打造的护手，具有相当的防护作用。
240009 	银鳞胸甲	1 	3 	1 	2 	240009 	0 	0 	0 	45 	375 	0 	0 	0 	33 	上级统领才能用得上的护具。
240010 	真银战靴	1 	4 	1 	2 	240010 	60 	0 	0 	0 	375 	0 	0 	0 	0 	用真银打造，驱魔辟邪。
240013 	皇威阔剑	1 	1 	1 	3 	240013 	160 	0 	0 	0 	0 	36 	0 	36 	0 	”他只是拿着就很有威慑力了。“---------杰克
240014 	雷厉护手	1 	2 	1 	3 	240014 	0 	0 	60 	0 	500 	0 	44 	0 	0 	”如果不能说到做到，那我就没有资格统领大家“-------天瑞族长对族人说道
240015 	强权胸甲	1 	3 	1 	3 	240015 	0 	0 	0 	60 	500 	0 	0 	0 	44 	强权不代表暴政。
240016 	风行战靴	1 	4 	1 	3 	240016 	80 	0 	0 	0 	500 	0 	0 	0 	0 	一双带有加速魔法的战靴。
240019 	战神	1 	1 	1 	4 	240019 	200 	0 	0 	0 	0 	45 	0 	45 	0 	”神器之所以是神器，只是因为拿的人成神了“--------芍三
240020 	天命护手	1 	2 	1 	4 	240020 	0 	0 	75 	0 	625 	0 	55 	0 	0 	命运掌握在我们的手中。
240021 	真理胸甲	1 	3 	1 	4 	240021 	0 	0 	0 	75 	625 	0 	0 	0 	55 	真理存在于我们的心中。
240022 	伏魔战靴	1 	4 	1 	4 	240022 	100 	0 	0 	0 	625 	0 	0 	0 	0 	魔，只是我们的心魔
241001 	青铜战斧	2 	1 	1 	1 	241001 	80 	0 	0 	0 	0 	18 	0 	18 	0 	青铜打造的斧头，笨重，易钝。
241002 	铸铁手甲	2 	2 	1 	1 	241002 	0 	0 	30 	0 	250 	0 	22 	0 	0 	石头一敲都能凹下去的手甲
241003 	厚铅重甲	2 	3 	1 	1 	241003 	0 	0 	0 	30 	250 	0 	0 	0 	22 	基本的刀枪都能挡开，只是很重。
241004 	铁皮重靴	2 	4 	1 	1 	241004 	40 	0 	0 	0 	250 	0 	0 	0 	0 	用铁皮制成的简易重靴
241007 	巨熊战斧	2 	1 	1 	2 	241007 	120 	0 	0 	0 	0 	27 	0 	27 	0 	精钢制的斧头，刻有巨熊图腾。
241008 	镀银手甲	2 	2 	1 	2 	241008 	0 	0 	45 	0 	375 	0 	33 	0 	0 	镀上银的手甲，能够减轻魔法伤害
241009 	真银重甲	2 	3 	1 	2 	241009 	0 	0 	0 	45 	375 	0 	0 	0 	33 	真银打造的重甲，无论面对物理还是魔法伤害，都非常有效。
241010 	厚刚重靴	2 	4 	1 	2 	241010 	60 	0 	0 	0 	375 	0 	0 	0 	0 	用钢铁打造的重靴，有相当的防御力，即使用作武器也是可以的。
241013 	英魂战斧	2 	1 	1 	3 	241013 	160 	0 	0 	0 	0 	36 	0 	36 	0 	“活1000年算什么，能够活在人们心里1000年，才算得上是英雄。”-------部落战神布莱
241014 	意志手甲	2 	2 	1 	3 	241014 	0 	0 	60 	0 	500 	0 	44 	0 	0 	意志决定命运
241015 	玄铁重甲	2 	3 	1 	3 	241015 	0 	0 	0 	60 	500 	0 	0 	0 	44 	身经百战的重甲，但却毫发无损。
241016 	神阳重靴	2 	4 	1 	3 	241016 	80 	0 	0 	0 	500 	0 	0 	0 	0 	靴身通透明亮，散发着太阳的气息。
241019 	泰坦	2 	1 	1 	4 	241019 	200 	0 	0 	0 	0 	45 	0 	45 	0 	“我觉得我可以撼动大地”-------无名。
241020 	狂怒手甲	2 	2 	1 	4 	241020 	0 	0 	75 	0 	625 	0 	55 	0 	0 	“不要惹我，小鬼。”-------狂神克孜
241021 	玄武重甲	2 	3 	1 	4 	241021 	0 	0 	0 	75 	625 	0 	0 	0 	55 	甲身通绿，坚韧无比，刀枪不入。
241022 	大地重靴	2 	4 	1 	4 	241022 	100 	0 	0 	0 	625 	0 	0 	0 	0 	外形怪异，厚重无比，每走一步都地动山摇。
242001 	朽木长杖	3 	1 	1 	1 	242001 	0 	100 	0 	0 	0 	22 	0 	20 	0 	朽木制成，容易折断，适合新手。
242002 	粗布手套	3 	2 	1 	1 	242002 	0 	0 	20 	0 	200 	0 	18 	0 	0 	粗布做的手套，没什么防护作用
242003 	保暖长袍	3 	3 	1 	1 	242003 	0 	0 	0 	20 	200 	0 	0 	0 	20 	只是为了保暖而穿上的长袍
242004 	亚麻短靴	3 	4 	1 	1 	242004 	0 	50 	0 	0 	200 	0 	0 	0 	0 	亚麻制的短靴，耐磨不耐热。
242007 	智慧长杖	3 	1 	1 	2 	242007 	0 	150 	0 	0 	0 	33 	0 	30 	0 	长老传下来的长杖，蕴含着法力，对施法很有帮助
242008 	丝质手套	3 	2 	1 	2 	242008 	0 	0 	30 	0 	300 	0 	27 	0 	0 	丝质手套，能够增强魔法。
242009 	法力长袍	3 	3 	1 	2 	242009 	0 	0 	0 	30 	300 	0 	0 	0 	30 	天蚕丝做的长袍，能够抵御大部分的魔法攻击。
242010 	金丝短靴	3 	4 	1 	2 	242010 	0 	75 	0 	0 	300 	0 	0 	0 	0 	金丝作的短靴，能够增强魔法
242013 	日怒长杖	3 	1 	1 	3 	242013 	0 	200 	0 	0 	0 	44 	0 	40 	0 	天空树做的杖身，镶嵌着太阳石，仿佛每一击都能将敌人燃烧殆尽。
242014 	阳炎手套	3 	2 	1 	3 	242014 	0 	0 	40 	0 	400 	0 	36 	0 	0 	通红的手套，像要烧起来，能够大大增强魔法效果。
242015 	狱火长袍	3 	3 	1 	3 	242015 	0 	0 	0 	40 	400 	0 	0 	0 	40 	“为了他，我手臂都烧断了。”--------断臂大裁缝列克
242016 	烈焰短靴	3 	4 	1 	3 	242016 	0 	100 	0 	0 	400 	0 	0 	0 	0 	“每一步都踏着火“
242019 	龙魂	3 	1 	1 	4 	242019 	0 	250 	0 	0 	0 	55 	0 	50 	0 	用龙晶制作的长杖，蕴含着最古老的法力。----六道法师
242020 	魔能手套	3 	2 	1 	4 	242020 	0 	0 	50 	0 	500 	0 	45 	0 	0 	无法相信这个手套的魔力，足以摧毁整座部落。------疯狂的摧毁者
242021 	蛟凤长袍	3 	3 	1 	4 	242021 	0 	0 	0 	50 	500 	0 	0 	0 	50 	最顶端的生物圈，用它们至高的生命所制成。
242022 	星陨短靴	3 	4 	1 	4 	242022 	0 	125 	0 	0 	500 	0 	0 	0 	0 	从来没人知道哪里来的陨石，可以飞跃任何地形。
243001 	木质长弓	4 	1 	1 	1 	243001 	100 	0 	0 	0 	0 	22 	0 	20 	0 	怕是没有比这个长弓更廉价的了。
243002 	粗皮指套	4 	2 	1 	1 	243002 	0 	0 	20 	0 	200 	0 	18 	0 	0 	带了会起茧的指套。
243003 	韧皮披风	4 	3 	1 	1 	243003 	0 	0 	0 	20 	200 	0 	0 	0 	20 	坚韧的披风，耍帅的法宝。
243004 	劣质长靴	4 	4 	1 	1 	243004 	50 	0 	0 	0 	200 	0 	0 	0 	0 	跑多几步都会烂掉的长靴，并没有什么卵用。
243007 	加固长弓	4 	1 	1 	2 	243007 	150 	0 	0 	0 	0 	33 	0 	30 	0 	经过加固的长弓，可以射得非常远。
243008 	兽皮指套	4 	2 	1 	2 	243008 	0 	0 	30 	0 	300 	0 	27 	0 	0 	镶上了兽皮的指套，更加舒适和耐用了。
243009 	丝绸披风	4 	3 	1 	2 	243009 	0 	0 	0 	30 	300 	0 	0 	0 	30 	经过加工的廉价丝绸，拥有风的感觉。
243010 	精皮长靴	4 	4 	1 	2 	243010 	75 	0 	0 	0 	300 	0 	0 	0 	0 	较为精致的长靴，在森林奔跑的必要装备。
243013 	鹰目长弓	4 	1 	1 	3 	243013 	200 	0 	0 	0 	0 	44 	0 	40 	0 	曾经赋予鹰眼的神弓，拥有极大的神力------鹰身兽魂
243014 	穿杨指套	4 	2 	1 	3 	243014 	0 	0 	40 	0 	400 	0 	36 	0 	0 	能够刺穿任何物品的指套，无坚不摧。
243015 	王者披风	4 	3 	1 	3 	243015 	0 	0 	0 	40 	400 	0 	0 	0 	40 	只有王者才能使用的披风，价值无法估量-----森林兽王
243016 	光翼长靴	4 	4 	1 	3 	243016 	100 	0 	0 	0 	400 	0 	0 	0 	0 	很轻很飘逸的长靴，能跟上猎豹的速度。
243019 	贯心	4 	1 	1 	4 	243019 	250 	0 	0 	0 	0 	55 	0 	50 	0 	一箭贯心，一把真正的神器。-------风行者
243020 	破神指套	4 	2 	1 	4 	243020 	0 	0 	50 	0 	500 	0 	45 	0 	0 	远古留下来的指套，在神山炼制而成。
243021 	猎皇披风	4 	3 	1 	4 	243021 	0 	0 	0 	50 	500 	0 	0 	0 	50 	猎皇传承下来的披风，只能有一个主人。------猎皇
243022 	幽冥长靴	4 	4 	1 	4 	243022 	125 	0 	0 	0 	500 	0 	0 	0 	0 	无尽幽魂之路，无尽的火焰和冰冻，只有这双长靴才能踏行上去。
