物品ID	道具名称	品质	道具类型	使用等级	作用类型	效果	使用间隔/豪秒	最高叠加上限	物品说明
int	string	int	int	int	int	int	int	int	string
n_id	n_name	n_quality	n_type	n_level	n_useType	n_effect	n_cd	n_addMax	n_desc
1	金币	3	0	1	1	0	0	0	金币
2	符石	4	0	1	2	0	0	0	符石
100	普通行军丹	1	1	1	2	5	0	0	增加5点经验值
101	优秀行军丹	2	1	1	2	10	0	0	增加10点经验值
102	极品行军丹	3	1	1	2	50	0	0	增加50点经验值
120	烧肉	1	1	1	3	5	0	0	增加5点体力
121	蜂王蜜	2	1	1	3	10	0	0	增加10点体力
122	千年人参	3	1	1	3	50	0	0	增加50点体力
200	铜宝箱	2	2	1	1	203	0	0	随机宝物
201	银宝箱	3	2	1	2	204	0	0	随机宝物
202	金宝箱	4	2	1	3	205	0	0	随机宝物
203	铜钥匙	2	2	1	1	200	0	0	随机宝物
204	银钥匙	3	2	1	2	201	0	0	随机宝物
205	金钥匙	4	2	1	3	202	0	0	随机宝物
300	装备强化石	3	3	1	1	0	0	0	装备升级时消耗
301	技能升级石	4	3	1	2	0	0	0	技能升级时消耗
302	副本扫荡石	4	3	1	3	0	0	0	扫荡副本时消耗
1000	山贼首领碎片	2	4	1	1	100	10	0	10个合成一个山贼首领碎片
2000	玄铁月牙碎片	2	4	1	2	290001	10	0	10个合成一个玄铁月牙
2001	狮王图腾碎片	2	4	1	2	290002	10	0	10个合成一个狮王图腾
2002	圆斧月牙碎片	2	4	1	2	290003	10	0	10个合成一个圆斧月牙
2003	猛犸图腾碎片	2	4	1	2	290004	10	0	10个合成一个猛犸图腾
2004	坚盾月牙碎片	2	4	1	2	290005	10	0	10个合成一个坚盾月牙
2005	飞龙图腾碎片	2	4	1	2	290006	10	0	10个合成一个飞龙图腾
2006	吸魂月牙碎片	2	4	1	2	290007	10	0	10个合成一个吸魂月牙
2007	穷奇图腾碎片	2	4	1	2	290008	10	0	10个合成一个穷奇图腾
2008	天雷月牙碎片	2	4	1	2	290009	10	0	10个合成一个天雷月牙
2009	雷兽图腾碎片	2	4	1	2	290010	10	0	10个合成一个雷兽图腾
2010	火云月牙碎片	2	4	1	2	290011	10	0	10个合成一个火云月牙
2011	麒麟图腾碎片	2	4	1	2	290012	10	0	10个合成一个麒麟图腾
2012	风凌月牙碎片	2	4	1	2	290013	10	0	10个合成一个风凌月牙
2013	飞鹏图腾碎片	2	4	1	2	290014	10	0	10个合成一个飞鹏图腾
2014	锋矢月牙碎片	2	4	1	2	290015	10	0	10个合成一个锋矢月牙
2015	暗杀者图腾碎片	2	4	1	2	290016	10	0	10个合成一个暗杀者图
2016	天斗月牙碎片	2	4	1	2	290017	10	0	10个合成一个天斗月牙
2017	银狼图腾碎片	2	4	1	2	290018	10	0	10个合成一个银狼图腾
2018	山岳月牙碎片	2	4	1	2	290019	5	0	5个合成一个山岳月牙
2019	铁牛图腾碎片	2	4	1	2	290020	5	0	5个合成一个铁牛图腾
2020	雪风月牙碎片	2	4	1	2	290021	5	0	5个合成一个雪风月牙
2021	毒蛛图腾碎片	2	4	1	2	290022	5	0	5个合成一个毒蛛图腾
