宝物ID	宝物名称	穿戴部位	宝物品质	最终伤害	最终免伤	攻击速度百分比	移动速度百分比	图标	图标
int	varchar(255)	int	int	int	int	int	int	int	varchar(255)
n_id	n_name	n_part	n_quality	n_harm	n_missHarm	n_attackSpeed	n_speed	n_icon	n_desc
290001	玄铁月牙	1	4	0	700	1000	0	290001	玄铁月牙
290002	狮王图腾	2	4	300	0	0	1000	290002	狮王图腾
290003	圆斧月牙	1	4	0	700	1000	0	290001	圆斧月牙
290004	猛犸图腾	2	4	300	0	0	1000	290002	猛犸图腾
290005	坚盾月牙	1	4	0	700	1000	0	290001	坚盾月牙
290006	飞龙图腾	2	4	300	0	0	1000	290002	飞龙图腾
290007	吸魂月牙	1	4	0	300	1000	0	290001	吸魂月牙
290008	穷奇图腾	2	4	700	0	0	1000	290002	穷奇图腾
290009	天雷月牙	1	4	0	300	1000	0	290001	天雷月牙
290010	雷兽图腾	2	4	700	0	0	1000	290002	雷兽图腾
290011	火云月牙	1	4	0	300	1000	0	290001	火云月牙
290012	麒麟图腾	2	4	700	0	0	1000	290002	麒麟图腾
290013	风凌月牙	1	4	0	500	1000	0	290001	风凌月牙
290014	飞鹏图腾	2	4	500	0	0	1000	290002	飞鹏图腾
290015	锋矢月牙	1	4	0	500	1000	0	290001	锋矢月牙
290016	暗杀者图腾	2	4	500	0	0	1000	290002	暗杀者图腾
290017	天斗月牙	1	4	0	500	1000	0	290001	天斗月牙
290018	银狼图腾	2	4	500	0	0	1000	290002	银狼图腾
290019	山岳月牙	1	3	0	200	500	0	290001	山岳月牙
290020	铁牛图腾	2	3	300	0	0	500	290002	铁牛图腾
290021	雪风月牙	1	3	0	300	500	0	290001	雪风月牙
290022	毒蛛图腾	2	3	200	0	0	500	290002	毒蛛图腾
290023	连环月牙	1	2	0	100	300	0	290001	连环月牙
290024	鹰眼图腾	2	2	100	0	0	300	290002	鹰眼图腾
290025	清心月牙	1	1	0	50	100	0	290001	清心月牙
290026	狂暴图腾	2	1	50	0	0	100	290002	狂暴图腾
