id	人物等级	升级所需经验
int	int	int
n_id	n_grade	n_exp
1	1	50
2	2	100
3	3	450
4	4	1400
5	5	3250
6	6	6300
7	7	10850
8	8	17200
9	9	25650
10	10	36500
11	11	50050
12	12	66600
13	13	86450
14	14	109900
15	15	137250
16	16	168800
17	17	204850
18	18	245700
19	19	291650
20	20	343000
21	21	400050
22	22	463100
23	23	532450
24	24	608400
25	25	691250
26	26	781300
27	27	878850
28	28	984200
29	29	1097650
30	30	1219500
31	31	1350050
32	32	1489600
33	33	1638450
34	34	1796900
35	35	1965250
36	36	2143800
37	37	2332850
38	38	2532700
39	39	2743650
40	40	2966000
41	41	3200050
42	42	3446100
43	43	3704450
44	44	3975400
45	45	4259250
46	46	4556300
47	47	4866850
48	48	5191200
49	49	5529650
50	50	5882500
51	51	6250050
52	52	6632600
53	53	7030450
54	54	7443900
55	55	7873250
56	56	8318800
57	57	8780850
58	58	9259700
59	59	9755650
60	60	10269000
61	61	10800050
62	62	11349100
63	63	11916450
64	64	12502400
65	65	13107250
66	66	13731300
67	67	14374850
68	68	15038200
69	69	15721650
70	70	16425500
